Scan Date,Domain,# of Positive Scans,# of Total Scans,Permalink
2020-01-01 02:56:47,aa[.]0xbdairolkoie[.]space/xs[.]exe,6,72,https://www.virustotal.com/url/7edebe42e0d8f34311aa94764ecb1a1621998bd658b8c57032af4857fd431a41/analysis/1577847407/
2020-01-01 02:57:18,aa[.]0xbdairolkoie[.]space/swpuhostd[.]exe,8,73,https://www.virustotal.com/url/ad4fee8d9b7dfabadc2546740be6704751f52a9cfd3587479ead13795e25d1ca/analysis/1577847438/
